# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.983024597167968750e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.010959625244140625e+01 1.049979686737060547e+02 8.089971542358398438e-01 6.254079341888427734e+00 5.038661956787109375e+00 0.000000000000000000e+00 2.658843994140625000e-03 3.848016500473022461e+00 4.478346440009772778e-03 8.080000000000000015e-10 1.475000000000000000e+01 1.500000000000000000e+01
1.179526090621948242e+01 1.000000000000000000e+00 1.003358840942382812e+02 2.121229171752929688e+01 3.017525672912597656e+01 1.049651145935058594e+02 8.132653236389160156e-01 6.254407882690429688e+00 5.038333892822265625e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.847523927688598633e+00 3.165056754369288683e-03 8.109999999999999912e-10 1.405000000000000071e+01 1.509999999999999964e+01
1.433580946922302246e+01 2.000000000000000000e+00 1.003030776977539062e+02 2.137646675109863281e+01 3.014245033264160156e+01 1.050307750701904297e+02 8.126087188720703125e-01 6.253094196319580078e+00 5.036692142486572266e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.848508834838867188e+00 3.165056754369288683e-03 8.129999999999999843e-10 1.415000000000000036e+01 1.509999999999999964e+01
1.685239958763122559e+01 3.000000000000000000e+00 1.002045631408691406e+02 2.104816436767578125e+01 3.010959625244140625e+01 1.049651145935058594e+02 8.126087188720703125e-01 6.256049156188964844e+00 5.036692142486572266e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.858522415161132812e+00 3.296290349680930376e-03 8.179999999999999670e-10 1.425000000000000000e+01 1.509999999999999964e+01
1.938494038581848145e+01 4.000000000000000000e+00 1.003358840942382812e+02 2.114663124084472656e+01 3.027377128601074219e+01 1.049979686737060547e+02 8.132653236389160156e-01 6.252109527587890625e+00 5.038661956787109375e+00 9.999999999999999547e-07 4.300594329833984375e-03 3.854090213775634766e+00 3.558948286809027195e-03 8.080000000000000015e-10 1.434999999999999964e+01 1.509999999999999964e+01
2.190853476524353027e+01 5.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.007678985595703125e+01 1.049323081970214844e+02 8.135938644409179688e-01 6.253750801086425781e+00 5.037348747253417969e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.841614246368408203e+00 4.215688502881675959e-03 8.089999999999999981e-10 1.444999999999999929e+01 1.509999999999999964e+01
2.443309140205383301e+01 6.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.024091720581054688e+01 1.049651145935058594e+02 8.132653236389160156e-01 6.252109527587890625e+00 5.037020683288574219e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.850642919540405273e+00 4.084264161065220833e-03 8.250000000000000462e-10 1.455000000000000071e+01 1.509999999999999964e+01
2.695459938049316406e+01 7.000000000000000000e+00 1.002702236175537109e+02 2.117948532104492188e+01 3.010959625244140625e+01 1.049651145935058594e+02 8.126087188720703125e-01 6.253094196319580078e+00 5.037020683288574219e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.850807189941406250e+00 4.741004377137869596e-03 8.099999999999999946e-10 1.465000000000000036e+01 1.509999999999999964e+01
2.942720103263854980e+01 8.000000000000000000e+00 1.002702236175537109e+02 2.114663124084472656e+01 3.027377128601074219e+01 1.050636291503906250e+02 8.135938644409179688e-01 6.252766132354736328e+00 5.037677288055419922e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.854254484176635742e+00 5.134895909577608109e-03 8.179999999999999670e-10 1.475000000000000000e+01 1.509999999999999964e+01
3.191776299476623535e+01 9.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.014245033264160156e+01 1.050307750701904297e+02 8.119521141052246094e-01 6.251780986785888672e+00 5.037020683288574219e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.848180532455444336e+00 4.872237972449511290e-03 8.149999999999999773e-10 1.484999999999999964e+01 1.509999999999999964e+01
3.441933393478393555e+01 1.000000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.040509223937988281e+01 1.050307750701904297e+02 8.126087188720703125e-01 6.253422737121582031e+00 5.035378932952880859e+00 0.000000000000000000e+00 5.285263061523437500e-03 3.853761911392211914e+00 5.003662314265966415e-03 8.119999999999999877e-10 1.494999999999999929e+01 1.509999999999999964e+01
3.689593529701232910e+01 1.100000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.017525672912597656e+01 1.050636291503906250e+02 8.132653236389160156e-01 6.251452922821044922e+00 5.034722328186035156e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.845718383789062500e+00 5.266320251394063234e-03 8.179999999999999670e-10 1.505000000000000071e+01 1.509999999999999964e+01
3.937751626968383789e+01 1.200000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.027377128601074219e+01 1.049323081970214844e+02 8.132653236389160156e-01 6.251124382019042969e+00 5.038005352020263672e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.836033105850219727e+00 5.397553846705704927e-03 8.139999999999999808e-10 1.515000000000000036e+01 1.509999999999999964e+01
4.188808012008666992e+01 1.300000000000000000e+01 1.003358840942382812e+02 2.117948532104492188e+01 3.014245033264160156e+01 1.049323081970214844e+02 8.139219284057617188e-01 6.252437591552734375e+00 5.036692142486572266e+00 9.999999999999999547e-07 2.658843994140625000e-03 3.850314617156982422e+00 5.791636125650256872e-03 8.119999999999999877e-10 1.525000000000000000e+01 1.509999999999999964e+01
4.443161368370056152e+01 1.400000000000000000e+01 1.003358840942382812e+02 2.104816436767578125e+01 3.024091720581054688e+01 1.049323081970214844e+02 8.139219284057617188e-01 6.252766132354736328e+00 5.036692142486572266e+00 9.999999999999999547e-07 5.285263061523437500e-03 3.838331222534179688e+00 5.923060467466711998e-03 8.169999999999999704e-10 1.534999999999999964e+01 1.509999999999999964e+01
4.690421605110168457e+01 1.500000000000000000e+01 1.004015445709228516e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.049979686737060547e+02 8.142504692077636719e-01 6.252109527587890625e+00 5.033737659454345703e+00 9.999999999999999547e-07 5.613803863525390625e-03 3.846867322921752930e+00 5.923060467466711998e-03 8.080000000000000015e-10 1.544999999999999929e+01 1.509999999999999964e+01
5.231612133979797363e+01 1.600000000000000000e+01 1.003358840942382812e+02 2.137646675109863281e+01 3.020811080932617188e+01 1.050636291503906250e+02 8.162202835083007812e-01 6.252437591552734375e+00 5.037677288055419922e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.853269577026367188e+00 3.296290349680930376e-03 8.139999999999999808e-10 1.375000000000000000e+01 1.519999999999999929e+01
5.484966135025024414e+01 1.700000000000000000e+01 1.004015445709228516e+02 2.140927314758300781e+01 3.020811080932617188e+01 1.050636291503906250e+02 8.172049522399902344e-01 6.253422737121582031e+00 5.037020683288574219e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.847852230072021484e+00 3.296290349680930376e-03 8.109999999999999912e-10 1.384999999999999964e+01 1.519999999999999929e+01
5.739522123336791992e+01 1.800000000000000000e+01 1.002702236175537109e+02 2.121229171752929688e+01 3.014245033264160156e+01 1.049979686737060547e+02 8.175334930419921875e-01 6.251780986785888672e+00 5.036035537719726562e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.844404935836791992e+00 3.296290349680930376e-03 8.089999999999999981e-10 1.394999999999999929e+01 1.519999999999999929e+01
5.991577982902526855e+01 1.900000000000000000e+01 1.002374172210693359e+02 2.117948532104492188e+01 3.024091720581054688e+01 1.049651145935058594e+02 8.168768882751464844e-01 6.251780986785888672e+00 5.035050868988037109e+00 0.000000000000000000e+00 4.628658294677734375e-03 3.839644432067871094e+00 3.953030565753579140e-03 8.199999999999999601e-10 1.405000000000000071e+01 1.519999999999999929e+01
6.244132304191589355e+01 2.000000000000000000e+01 1.004343986511230469e+02 2.127795219421386719e+01 3.030657768249511719e+01 1.049651145935058594e+02 8.178615570068359375e-01 6.252109527587890625e+00 5.036692142486572266e+00 9.999999999999999547e-07 2.987384796142578125e-03 3.840957641601562500e+00 3.165056754369288683e-03 8.089999999999999981e-10 1.415000000000000036e+01 1.519999999999999929e+01
6.496189880371093750e+01 2.100000000000000000e+01 1.003030776977539062e+02 2.137646675109863281e+01 3.017525672912597656e+01 1.050307750701904297e+02 8.165483474731445312e-01 6.251780986785888672e+00 5.035707473754882812e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.845718383789062500e+00 3.558948286809027195e-03 8.159999999999999739e-10 1.425000000000000000e+01 1.519999999999999929e+01
