# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 15
# y_centre = 18.25
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.882037401199340820e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.127795219421386719e+01 3.040509223937988281e+01 1.059172153472900391e+02 1.962034702301025391e+00 6.205817222595214844e+00 3.937498092651367188e+00 9.999999999999999547e-07 2.330780029296875000e-03 4.128067970275878906e+00 5.397553846705704927e-03 6.860000000000000092e-10 1.500000000000000000e+01 1.525000000000000000e+01
1.168229198455810547e+01 1.000000000000000000e+00 1.002702236175537109e+02 2.108097076416015625e+01 3.027377128601074219e+01 1.059500694274902344e+02 1.962691307067871094e+00 6.206473827362060547e+00 3.933886528015136719e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.127083063125610352e+00 1.063602510839700699e-03 6.969999999999999712e-10 1.430000000000000071e+01 1.534999999999999964e+01
1.425479269027709961e+01 2.000000000000000000e+00 1.004343986511230469e+02 2.117948532104492188e+01 3.017525672912597656e+01 1.059172153472900391e+02 1.966959476470947266e+00 6.206802368164062500e+00 3.926991939544677734e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.117890357971191406e+00 1.524770335527136922e-02 6.959999999999999747e-10 1.440000000000000036e+01 1.534999999999999964e+01
1.678133773803710938e+01 3.000000000000000000e+00 1.003687381744384766e+02 2.131080627441406250e+01 3.010959625244140625e+01 1.059172153472900391e+02 1.962363243103027344e+00 6.207787036895751953e+00 3.928961753845214844e+00 9.999999999999999547e-07 4.957199096679687500e-03 4.122650861740112305e+00 8.418215496931225061e-03 6.870000000000000058e-10 1.450000000000000000e+01 1.534999999999999964e+01
1.927590250968933105e+01 4.000000000000000000e+00 1.003030776977539062e+02 2.111382484436035156e+01 3.017525672912597656e+01 1.059828758239746094e+02 1.965974807739257812e+00 6.207130432128906250e+00 3.931588649749755859e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.120352745056152344e+00 3.821606223937124014e-03 6.820000000000000230e-10 1.459999999999999964e+01 1.534999999999999964e+01
2.177350354194641113e+01 5.000000000000000000e+00 1.003030776977539062e+02 2.137646675109863281e+01 3.024091720581054688e+01 1.058844089508056641e+02 1.965974807739257812e+00 6.211726665496826172e+00 3.927977085113525391e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.120845079421997070e+00 5.397553846705704927e-03 6.830000000000000196e-10 1.469999999999999929e+01 1.534999999999999964e+01
2.431899833679199219e+01 6.000000000000000000e+00 1.003358840942382812e+02 2.131080627441406250e+01 3.024091720581054688e+01 1.058844089508056641e+02 1.965646266937255859e+00 6.205488681793212891e+00 3.929618835449218750e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.129052877426147461e+00 5.397553846705704927e-03 6.880000000000000023e-10 1.480000000000000071e+01 1.534999999999999964e+01
2.678957581520080566e+01 7.000000000000000000e+00 1.003358840942382812e+02 2.131080627441406250e+01 3.024091720581054688e+01 1.059500694274902344e+02 1.963676452636718750e+00 6.205817222595214844e+00 3.931260108947753906e+00 0.000000000000000000e+00 4.628658294677734375e-03 4.126426458358764648e+00 5.923060467466711998e-03 6.899999999999999954e-10 1.490000000000000036e+01 1.534999999999999964e+01
2.927619647979736328e+01 8.000000000000000000e+00 1.003358840942382812e+02 2.117948532104492188e+01 3.010959625244140625e+01 1.059172153472900391e+02 1.960064888000488281e+00 6.206145763397216797e+00 3.932573318481445312e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.118546962738037109e+00 5.923060467466711998e-03 6.729999999999999507e-10 1.500000000000000000e+01 1.534999999999999964e+01
3.180069112777709961e+01 9.000000000000000000e+00 1.003358840942382812e+02 2.134361267089843750e+01 3.020811080932617188e+01 1.059172153472900391e+02 1.963347911834716797e+00 6.205160617828369141e+00 3.931588649749755859e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.123307466506958008e+00 6.185718404594808817e-03 6.820000000000000230e-10 1.509999999999999964e+01 1.534999999999999964e+01
3.431129765510559082e+01 1.000000000000000000e+01 1.003687381744384766e+02 2.121229171752929688e+01 3.017525672912597656e+01 1.059172153472900391e+02 1.963676452636718750e+00 6.205160617828369141e+00 3.928961753845214844e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.122322559356689453e+00 6.579609937034547329e-03 6.810000000000000265e-10 1.519999999999999929e+01 1.534999999999999964e+01
