# Solenoid scan data
# r_max = 3.5
# point_spacing = 0.05
# x_centre = 19
# y_centre = 17
# wait_time = 1.5
# N_points = 3845
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
8.982856273651123047e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.121229171752929688e+01 3.030657768249511719e+01 9.990906715393066406e+01 2.394752025604248047e+00 6.016051769256591797e+00 3.663684368133544922e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.245275974273681641e+00 4.400960583006963134e-02 2.949999999999999946e-09 1.900000000000000000e+01 1.350000000000000000e+01
1.391902804374694824e+01 1.000000000000000000e+00 1.003687381744384766e+02 2.127795219421386719e+01 3.020811080932617188e+01 9.997472763061523438e+01 2.397706985473632812e+00 6.010470390319824219e+00 3.667952537536621094e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.260706663131713867e+00 4.164568439591675997e-02 2.930000000000000015e-09 1.819999999999999929e+01 1.359999999999999964e+01
1.907907915115356445e+01 2.000000000000000000e+00 1.004343986511230469e+02 2.134361267089843750e+01 3.014245033264160156e+01 9.994192123413085938e+01 2.397706985473632812e+00 6.011455535888671875e+00 3.666967868804931641e+00 9.999999999999999547e-07 2.002239227294921875e-03 4.243798494338989258e+00 4.177691799122840166e-02 2.949999999999999946e-09 1.830000000000000071e+01 1.359999999999999964e+01
2.959607028961181641e+01 3.000000000000000000e+00 1.003358840942382812e+02 2.117948532104492188e+01 3.030657768249511719e+01 9.994192123413085938e+01 2.398692131042480469e+00 6.011455535888671875e+00 3.664997577667236328e+00 0.000000000000000000e+00 4.957199096679687500e-03 4.243962764739990234e+00 4.203976667486131191e-02 2.930000000000000015e-09 1.839999999999999858e+01 1.359999999999999964e+01
3.214561367034912109e+01 4.000000000000000000e+00 1.003358840942382812e+02 2.127795219421386719e+01 3.024091720581054688e+01 9.990906715393066406e+01 2.397378921508789062e+00 6.011126995086669922e+00 3.666639328002929688e+00 9.999999999999999547e-07 4.628658294677734375e-03 4.231815099716186523e+00 4.282774048624560237e-02 2.930000000000000015e-09 1.850000000000000000e+01 1.359999999999999964e+01
3.467918157577514648e+01 5.000000000000000000e+00 1.002702236175537109e+02 2.124514579772949219e+01 3.027377128601074219e+01 9.997472763061523438e+01 2.397706985473632812e+00 6.011455535888671875e+00 3.664997577667236328e+00 9.999999999999999547e-07 4.300594329833984375e-03 4.238381385803222656e+00 4.295897408155724406e-02 2.930000000000000015e-09 1.860000000000000142e+01 1.359999999999999964e+01
3.721373319625854492e+01 6.000000000000000000e+00 1.003687381744384766e+02 2.121229171752929688e+01 3.020811080932617188e+01 9.997472763061523438e+01 2.397050380706787109e+00 6.011455535888671875e+00 3.665982723236083984e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.252006530761718750e+00 4.348428995581343770e-02 2.940000000000000187e-09 1.869999999999999929e+01 1.359999999999999964e+01
3.974528837203979492e+01 7.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.014245033264160156e+01 9.990906715393066406e+01 2.395080566406250000e+00 6.011126995086669922e+00 3.663356304168701172e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.249051570892333984e+00 4.361571429762989283e-02 2.930000000000000015e-09 1.880000000000000071e+01 1.359999999999999964e+01
4.227687573432922363e+01 8.000000000000000000e+00 1.003358840942382812e+02 2.144212722778320312e+01 3.014245033264160156e+01 9.990906715393066406e+01 2.395737171173095703e+00 6.013097286224365234e+00 3.665326118469238281e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.236083269119262695e+00 4.387837223475798965e-02 2.930000000000000015e-09 1.889999999999999858e+01 1.359999999999999964e+01
4.481037807464599609e+01 9.000000000000000000e+00 1.004343986511230469e+02 2.134361267089843750e+01 3.024091720581054688e+01 1.000404357910156250e+02 2.393767356872558594e+00 6.011126995086669922e+00 3.664340972900390625e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.247410058975219727e+00 4.519166192039847374e-02 2.919999999999999843e-09 1.900000000000000000e+01 1.359999999999999964e+01
4.734894180297851562e+01 1.000000000000000000e+01 1.003358840942382812e+02 2.111382484436035156e+01 3.020811080932617188e+01 1.000075817108154297e+02 2.393767356872558594e+00 6.011784076690673828e+00 3.663027763366699219e+00 9.999999999999999547e-07 3.972053527832031250e-03 4.241500377655029297e+00 4.597963573178276420e-02 2.930000000000000015e-09 1.910000000000000142e+01 1.359999999999999964e+01
4.988149619102478027e+01 1.100000000000000000e+01 1.003687381744384766e+02 2.117948532104492188e+01 3.027377128601074219e+01 9.997472763061523438e+01 2.391797542572021484e+00 6.012768745422363281e+00 3.666311264038085938e+00 0.000000000000000000e+00 2.002239227294921875e-03 4.234934091567993164e+00 4.611106007359921932e-02 2.930000000000000015e-09 1.919999999999999929e+01 1.359999999999999964e+01
5.241503286361694336e+01 1.200000000000000000e+01 1.004015445709228516e+02 2.117948532104492188e+01 3.037223815917968750e+01 1.000075817108154297e+02 2.391140937805175781e+00 6.011126995086669922e+00 3.666967868804931641e+00 0.000000000000000000e+00 2.002239227294921875e-03 4.238709688186645508e+00 4.794966563349589705e-02 2.930000000000000015e-09 1.930000000000000071e+01 1.359999999999999964e+01
5.494360327720642090e+01 1.300000000000000000e+01 1.003687381744384766e+02 2.127795219421386719e+01 3.030657768249511719e+01 9.994192123413085938e+01 2.390155792236328125e+00 6.011784076690673828e+00 3.664669513702392578e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.242649555206298828e+00 4.834374791244044900e-02 2.940000000000000187e-09 1.939999999999999858e+01 1.359999999999999964e+01
5.747819113731384277e+01 1.400000000000000000e+01 1.003687381744384766e+02 2.117948532104492188e+01 3.024091720581054688e+01 9.997472763061523438e+01 2.396065711975097656e+00 6.010470390319824219e+00 3.666967868804931641e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.259721755981445312e+00 4.886906378669664264e-02 2.930000000000000015e-09 1.950000000000000000e+01 1.359999999999999964e+01
6.000969552993774414e+01 1.500000000000000000e+01 1.003030776977539062e+02 2.124514579772949219e+01 3.020811080932617188e+01 9.994192123413085938e+01 2.396065711975097656e+00 6.012440681457519531e+00 3.666967868804931641e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.242813587188720703e+00 4.860640584956854582e-02 2.930000000000000015e-09 1.960000000000000142e+01 1.359999999999999964e+01
6.254429864883422852e+01 1.600000000000000000e+01 1.003358840942382812e+02 2.131080627441406250e+01 3.033943176269531250e+01 9.997472763061523438e+01 2.392125606536865234e+00 6.013425350189208984e+00 3.666311264038085938e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.236739873886108398e+00 4.886906378669664264e-02 2.919999999999999843e-09 1.969999999999999929e+01 1.359999999999999964e+01
6.507879686355590820e+01 1.700000000000000000e+01 1.004015445709228516e+02 2.121229171752929688e+01 3.030657768249511719e+01 9.994192123413085938e+01 2.391469001770019531e+00 6.010798931121826172e+00 3.664997577667236328e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.243470191955566406e+00 4.847498150775209069e-02 2.930000000000000015e-09 1.980000000000000071e+01 1.359999999999999964e+01
7.067861151695251465e+01 1.800000000000000000e+01 1.003358840942382812e+02 2.131080627441406250e+01 3.024091720581054688e+01 9.990906715393066406e+01 2.399020195007324219e+00 6.013753890991210938e+00 3.665654659271240234e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.233949184417724609e+00 4.059505264740437269e-02 2.930000000000000015e-09 1.789999999999999858e+01 1.369999999999999929e+01
7.321215057373046875e+01 1.900000000000000000e+01 1.004343986511230469e+02 2.131080627441406250e+01 3.014245033264160156e+01 9.997472763061523438e+01 2.398363590240478516e+00 6.012768745422363281e+00 3.665982723236083984e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.250200748443603516e+00 4.098894417984411120e-02 2.930000000000000015e-09 1.800000000000000000e+01 1.369999999999999929e+01
7.574375581741333008e+01 2.000000000000000000e+01 1.002702236175537109e+02 2.124514579772949219e+01 3.024091720581054688e+01 9.994192123413085938e+01 2.399020195007324219e+00 6.011455535888671875e+00 3.665982723236083984e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.256931066513061523e+00 4.085771058453246951e-02 2.919999999999999843e-09 1.810000000000000142e+01 1.369999999999999929e+01
7.827726650238037109e+01 2.100000000000000000e+01 1.003687381744384766e+02 2.144212722778320312e+01 3.027377128601074219e+01 9.997472763061523438e+01 2.398035526275634766e+00 6.011126995086669922e+00 3.664669513702392578e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.241828680038452148e+00 4.098894417984411120e-02 2.919999999999999843e-09 1.819999999999999929e+01 1.369999999999999929e+01
8.081582021713256836e+01 2.200000000000000000e+01 1.003687381744384766e+02 2.108097076416015625e+01 3.020811080932617188e+01 9.994192123413085938e+01 2.406571388244628906e+00 6.004560947418212891e+00 3.665326118469238281e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.234605789184570312e+00 4.125160211697220802e-02 2.930000000000000015e-09 1.830000000000000071e+01 1.369999999999999929e+01
8.336140441894531250e+01 2.300000000000000000e+01 1.004015445709228516e+02 2.127795219421386719e+01 3.017525672912597656e+01 9.994192123413085938e+01 2.408869743347167969e+00 6.002591133117675781e+00 3.664340972900390625e+00 0.000000000000000000e+00 4.300594329833984375e-03 4.247902393341064453e+00 4.190834233304485679e-02 2.930000000000000015e-09 1.839999999999999858e+01 1.369999999999999929e+01
8.587191677093505859e+01 2.400000000000000000e+01 1.003687381744384766e+02 2.131080627441406250e+01 3.014245033264160156e+01 9.997472763061523438e+01 2.406243324279785156e+00 6.002262592315673828e+00 3.664012908935546875e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.244783639907836914e+00 4.217100027017295361e-02 2.919999999999999843e-09 1.850000000000000000e+01 1.369999999999999929e+01
8.836149430274963379e+01 2.500000000000000000e+01 1.003358840942382812e+02 2.117948532104492188e+01 3.020811080932617188e+01 9.990906715393066406e+01 2.406571388244628906e+00 6.003575801849365234e+00 3.665326118469238281e+00 nan 3.315448760986328125e-03 4.249872446060180664e+00 4.322163201868534088e-02 2.919999999999999843e-09 1.860000000000000142e+01 1.369999999999999929e+01
9.082413864135742188e+01 2.600000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.033943176269531250e+01 9.987626075744628906e+01 2.414779186248779297e+00 5.996024608612060547e+00 3.664340972900390625e+00 0.000000000000000000e+00 5.285263061523437500e-03 4.246589183807373047e+00 4.506042832508683205e-02 2.919999999999999843e-09 1.869999999999999929e+01 1.369999999999999929e+01
9.328568124771118164e+01 2.700000000000000000e+01 1.003358840942382812e+02 2.127795219421386719e+01 3.024091720581054688e+01 1.000404357910156250e+02 2.410182952880859375e+00 5.996681213378906250e+00 3.663684368133544922e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.248394966125488281e+00 4.532308626221492887e-02 2.930000000000000015e-09 1.880000000000000071e+01 1.369999999999999929e+01
9.573233437538146973e+01 2.800000000000000000e+01 1.003687381744384766e+02 2.124514579772949219e+01 3.037223815917968750e+01 9.994192123413085938e+01 2.411824703216552734e+00 5.997009754180908203e+00 3.664340972900390625e+00 9.999999999999999547e-07 3.972053527832031250e-03 4.237889051437377930e+00 4.689903388498350978e-02 2.930000000000000015e-09 1.889999999999999858e+01 1.369999999999999929e+01
9.817789578437805176e+01 2.900000000000000000e+01 1.003687381744384766e+02 2.124514579772949219e+01 3.014245033264160156e+01 9.994192123413085938e+01 2.407227993011474609e+00 5.994054794311523438e+00 3.663027763366699219e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.240843772888183594e+00 4.624229366891086102e-02 2.919999999999999843e-09 1.900000000000000000e+01 1.369999999999999929e+01
1.006415297985076904e+02 3.000000000000000000e+01 1.003030776977539062e+02 2.117948532104492188e+01 3.020811080932617188e+01 9.994192123413085938e+01 2.409198284149169922e+00 5.997009754180908203e+00 3.666639328002929688e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.235426664352416992e+00 4.663637594785541296e-02 2.919999999999999843e-09 1.910000000000000142e+01 1.369999999999999929e+01
1.030870809555053711e+02 3.100000000000000000e+01 1.003358840942382812e+02 2.121229171752929688e+01 3.017525672912597656e+01 9.994192123413085938e+01 2.406571388244628906e+00 6.001934528350830078e+00 3.664997577667236328e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.256274461746215820e+00 4.742434975923970342e-02 2.930000000000000015e-09 1.919999999999999929e+01 1.369999999999999929e+01
1.055326836109161377e+02 3.200000000000000000e+01 1.003687381744384766e+02 2.124514579772949219e+01 3.017525672912597656e+01 1.000075817108154297e+02 2.410182952880859375e+00 5.990771770477294922e+00 3.663356304168701172e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.247245788574218750e+00 5.005092913052067161e-02 2.930000000000000015e-09 1.930000000000000071e+01 1.369999999999999929e+01
1.079793374538421631e+02 3.300000000000000000e+01 1.003687381744384766e+02 2.127795219421386719e+01 3.030657768249511719e+01 9.994192123413085938e+01 2.409854888916015625e+00 5.988801956176757812e+00 3.663027763366699219e+00 9.999999999999999547e-07 2.002239227294921875e-03 4.240351200103759766e+00 5.031377781415358186e-02 2.930000000000000015e-09 1.939999999999999858e+01 1.369999999999999929e+01
1.104258878231048584e+02 3.400000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.027377128601074219e+01 9.994192123413085938e+01 2.412481307983398438e+00 5.993070125579833984e+00 3.663356304168701172e+00 0.000000000000000000e+00 4.957199096679687500e-03 4.243962764739990234e+00 4.886906378669664264e-02 2.919999999999999843e-09 1.950000000000000000e+01 1.369999999999999929e+01
1.128725442886352539e+02 3.500000000000000000e+01 1.003030776977539062e+02 2.124514579772949219e+01 3.001112937927246094e+01 9.987626075744628906e+01 2.411824703216552734e+00 5.994054794311523438e+00 3.662043094635009766e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.235262393951416016e+00 5.031377781415358186e-02 2.919999999999999843e-09 1.960000000000000142e+01 1.369999999999999929e+01
1.153181419372558594e+02 3.600000000000000000e+01 1.004343986511230469e+02 2.134361267089843750e+01 3.020811080932617188e+01 9.997472763061523438e+01 2.409526348114013672e+00 5.995696544647216797e+00 3.663356304168701172e+00 9.999999999999999547e-07 4.628658294677734375e-03 4.247245788574218750e+00 4.991969553520902991e-02 2.940000000000000187e-09 1.969999999999999929e+01 1.369999999999999929e+01
1.177806859016418457e+02 3.700000000000000000e+01 1.004015445709228516e+02 2.134361267089843750e+01 3.020811080932617188e+01 9.997472763061523438e+01 2.400661945343017578e+00 6.001605987548828125e+00 3.662371158599853516e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.233456611633300781e+00 5.044501140946522355e-02 2.930000000000000015e-09 1.980000000000000071e+01 1.369999999999999929e+01
1.202263395786285400e+02 3.800000000000000000e+01 1.003030776977539062e+02 2.121229171752929688e+01 3.020811080932617188e+01 1.000075817108154297e+02 2.400990009307861328e+00 6.003904342651367188e+00 3.663356304168701172e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.241336345672607422e+00 5.162706749979406595e-02 2.930000000000000015e-09 1.989999999999999858e+01 1.369999999999999929e+01
1.227048847675323486e+02 3.900000000000000000e+01 1.003358840942382812e+02 2.134361267089843750e+01 3.024091720581054688e+01 1.000075817108154297e+02 2.395080566406250000e+00 6.000949382781982422e+00 3.665326118469238281e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.239202260971069336e+00 5.477896274533122778e-02 2.919999999999999843e-09 2.000000000000000000e+01 1.369999999999999929e+01
1.251674647331237793e+02 4.000000000000000000e+01 1.004343986511230469e+02 2.114663124084472656e+01 3.030657768249511719e+01 9.997472763061523438e+01 2.393767356872558594e+00 6.003247737884521484e+00 3.665326118469238281e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.245111942291259766e+00 5.517304502427577972e-02 2.919999999999999843e-09 2.010000000000000142e+01 1.369999999999999929e+01
1.310861341953277588e+02 4.100000000000000000e+01 1.003358840942382812e+02 2.127795219421386719e+01 3.010959625244140625e+01 9.997472763061523438e+01 2.410839557647705078e+00 6.002262592315673828e+00 3.664997577667236328e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.241336345672607422e+00 3.980707883602008224e-02 2.930000000000000015e-09 1.760000000000000142e+01 1.380000000000000071e+01
