# Solenoid scan data
# r_max = 3.5
# point_spacing = 0.05
# x_centre = 18.7
# y_centre = 17
# wait_time = 1.5
# N_points = 3845
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
8.680046558380126953e+00 0.000000000000000000e+00 1.003358840942382812e+02 2.131080627441406250e+01 3.017525672912597656e+01 8.999400138854980469e+01 3.423687458038330078e+00 5.838106155395507812e+00 2.818605422973632812e+00 0.000000000000000000e+00 2.330780029296875000e-03 4.615285396575927734e+00 5.307178152725100517e-02 3.479999999999999977e-09 1.869999999999999929e+01 1.350000000000000000e+01
1.371246647834777832e+01 1.000000000000000000e+00 1.004015445709228516e+02 2.131080627441406250e+01 3.017525672912597656e+01 9.002685546875000000e+01 3.425328731536865234e+00 5.837777614593505859e+00 2.819262027740478516e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.617091178894042969e+00 5.136440956266596913e-02 3.460000000000000046e-09 1.789999999999999858e+01 1.359999999999999964e+01
1.636695075035095215e+01 2.000000000000000000e+00 1.003358840942382812e+02 2.137646675109863281e+01 3.017525672912597656e+01 9.002685546875000000e+01 3.425000667572021484e+00 5.838762760162353516e+00 2.817620277404785156e+00 9.999999999999999547e-07 2.330780029296875000e-03 4.622672557830810547e+00 5.136440956266596913e-02 3.460000000000000046e-09 1.800000000000000000e+01 1.359999999999999964e+01
2.435518741607666016e+01 3.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.027377128601074219e+01 8.992834091186523438e+01 3.427955150604248047e+00 5.836464405059814453e+00 2.816963672637939453e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.621851682662963867e+00 5.175830109510570765e-02 3.469999999999999805e-09 1.810000000000000142e+01 1.359999999999999964e+01
3.344898438453674316e+01 4.000000000000000000e+00 1.004343986511230469e+02 2.137646675109863281e+01 3.010959625244140625e+01 8.989553451538085938e+01 3.427955150604248047e+00 5.838106155395507812e+00 2.816307067871093750e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.617583751678466797e+00 5.202095903223380446e-02 3.479999999999999977e-09 1.819999999999999929e+01 1.359999999999999964e+01
3.599152398109436035e+01 5.000000000000000000e+00 1.003687381744384766e+02 2.137646675109863281e+01 3.010959625244140625e+01 8.992834091186523438e+01 3.428940296173095703e+00 5.840075969696044922e+00 2.814993858337402344e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.627104759216308594e+00 5.228361696936190128e-02 3.499999999999999908e-09 1.830000000000000071e+01 1.359999999999999964e+01
3.852409362792968750e+01 6.000000000000000000e+00 1.004015445709228516e+02 2.124514579772949219e+01 3.024091720581054688e+01 8.999400138854980469e+01 3.430582046508789062e+00 5.845985412597656250e+00 2.816307067871093750e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.618404388427734375e+00 5.215238337405025959e-02 3.499999999999999908e-09 1.839999999999999858e+01 1.359999999999999964e+01
4.109261894226074219e+01 7.000000000000000000e+00 1.002702236175537109e+02 2.137646675109863281e+01 3.020811080932617188e+01 8.996119499206542969e+01 3.429268360137939453e+00 5.833181381225585938e+00 2.814665317535400391e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.615121364593505859e+00 5.228361696936190128e-02 3.499999999999999908e-09 1.850000000000000000e+01 1.359999999999999964e+01
4.363315892219543457e+01 8.000000000000000000e+00 1.003687381744384766e+02 2.137646675109863281e+01 3.014245033264160156e+01 8.996119499206542969e+01 3.429268360137939453e+00 5.833509445190429688e+00 2.817291736602783203e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.616434574127197266e+00 5.294035718543455005e-02 3.499999999999999908e-09 1.860000000000000142e+01 1.359999999999999964e+01
4.615972828865051270e+01 9.000000000000000000e+00 1.003358840942382812e+02 2.127795219421386719e+01 3.027377128601074219e+01 8.992834091186523438e+01 3.426970481872558594e+00 5.835151195526123047e+00 2.815978527069091797e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.614628791809082031e+00 5.372833099681884050e-02 3.510000000000000080e-09 1.869999999999999929e+01 1.359999999999999964e+01
4.867029428482055664e+01 1.000000000000000000e+01 1.003030776977539062e+02 2.117948532104492188e+01 3.024091720581054688e+01 9.002685546875000000e+01 3.427955150604248047e+00 5.835479259490966797e+00 2.815321922302246094e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.612330675125122070e+00 5.425364687107503414e-02 3.519999999999999839e-09 1.880000000000000071e+01 1.359999999999999964e+01
5.121082782745361328e+01 1.100000000000000000e+01 1.004672050476074219e+02 2.144212722778320312e+01 3.014245033264160156e+01 8.999400138854980469e+01 3.427298545837402344e+00 5.833837985992431641e+00 2.815650463104248047e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.616270542144775391e+00 5.661775905173271894e-02 3.530000000000000011e-09 1.889999999999999858e+01 1.359999999999999964e+01
5.375037693977355957e+01 1.200000000000000000e+01 1.003687381744384766e+02 2.134361267089843750e+01 3.024091720581054688e+01 9.002685546875000000e+01 3.425985336303710938e+00 5.834822654724121094e+00 2.815978527069091797e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.618568658828735352e+00 5.661775905173271894e-02 3.530000000000000011e-09 1.900000000000000000e+01 1.359999999999999964e+01
5.628194880485534668e+01 1.300000000000000000e+01 1.002702236175537109e+02 2.137646675109863281e+01 3.007678985595703125e+01 8.999400138854980469e+01 3.424672126770019531e+00 5.832524776458740234e+00 2.815321922302246094e+00 9.999999999999999547e-07 2.330780029296875000e-03 4.611838102340698242e+00 5.911310482770204544e-02 3.530000000000000011e-09 1.910000000000000142e+01 1.359999999999999964e+01
