# Solenoid scan data
# r_max = 2.1
# point_spacing = 0.05
# x_centre = 22.55
# y_centre = 17.5
# wait_time = 1.5
# N_points = 1370
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
7.892505645751953125e+00 0.000000000000000000e+00 1.003030776977539062e+02 2.124514579772949219e+01 3.017525672912597656e+01 9.002685546875000000e+01 3.139004707336425781e-01 6.249154567718505859e+00 5.521611690521240234e+00 0.000000000000000000e+00 3.643989562988281250e-03 3.692888259887695312e+00 1.577301922952756286e-02 1.060000000000000062e-09 2.255000000000000071e+01 1.540000000000000036e+01
1.266176605224609375e+01 1.000000000000000000e+00 1.002374172210693359e+02 2.111382484436035156e+01 3.020811080932617188e+01 8.996119499206542969e+01 3.168549537658691406e-01 6.252437591552734375e+00 5.522924900054931641e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.698141336441040039e+00 1.432830520207062364e-02 1.050000000000000096e-09 2.194999999999999929e+01 1.550000000000000000e+01
1.524229192733764648e+01 2.000000000000000000e+00 1.002702236175537109e+02 2.101531028747558594e+01 3.014245033264160156e+01 9.002685546875000000e+01 3.142285346984863281e-01 6.245543003082275391e+00 5.522268295288085938e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.685829639434814453e+00 1.248969964217394590e-02 1.060000000000000062e-09 2.205000000000000071e+01 1.550000000000000000e+01
1.784980273246765137e+01 3.000000000000000000e+00 1.003358840942382812e+02 2.124514579772949219e+01 3.030657768249511719e+01 9.002685546875000000e+01 3.148851394653320312e-01 6.247841358184814453e+00 5.522596359252929688e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.683859586715698242e+00 1.459096313919872046e-02 1.060000000000000062e-09 2.214999999999999858e+01 1.550000000000000000e+01
2.036041808128356934e+01 4.000000000000000000e+00 1.003030776977539062e+02 2.137646675109863281e+01 3.024091720581054688e+01 9.002685546875000000e+01 3.142285346984863281e-01 6.248826503753662109e+00 5.521611690521240234e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.688784360885620117e+00 1.485362107632681727e-02 1.050000000000000096e-09 2.225000000000000000e+01 1.550000000000000000e+01
2.284100174903869629e+01 5.000000000000000000e+00 1.002702236175537109e+02 2.121229171752929688e+01 3.027377128601074219e+01 9.002685546875000000e+01 3.122587203979492188e-01 6.249154567718505859e+00 5.521939754486083984e+00 9.999999999999999547e-07 3.315448760986328125e-03 3.695350646972656250e+00 1.577301922952756286e-02 1.039999999999999924e-09 2.235000000000000142e+01 1.550000000000000000e+01
2.532858085632324219e+01 6.000000000000000000e+00 1.003030776977539062e+02 2.114663124084472656e+01 3.017525672912597656e+01 8.999400138854980469e+01 3.122587203979492188e-01 6.246528148651123047e+00 5.521283149719238281e+00 0.000000000000000000e+00 2.987384796142578125e-03 3.692723989486694336e+00 1.551036129239946604e-02 1.050000000000000096e-09 2.244999999999999929e+01 1.550000000000000000e+01
2.785508418083190918e+01 7.000000000000000000e+00 1.002374172210693359e+02 2.124514579772949219e+01 3.017525672912597656e+01 8.992834091186523438e+01 3.119301795959472656e-01 6.248826503753662109e+00 5.522268295288085938e+00 0.000000000000000000e+00 3.315448760986328125e-03 3.694037437438964844e+00 1.577301922952756286e-02 1.050000000000000096e-09 2.255000000000000071e+01 1.550000000000000000e+01
3.031667852401733398e+01 8.000000000000000000e+00 1.003030776977539062e+02 2.117948532104492188e+01 3.014245033264160156e+01 8.999400138854980469e+01 3.132438659667968750e-01 6.247513294219970703e+00 5.522268295288085938e+00 0.000000000000000000e+00 4.300594329833984375e-03 3.684680461883544922e+00 1.537893695058301091e-02 1.060000000000000062e-09 2.265000000000000213e+01 1.550000000000000000e+01
3.279626131057739258e+01 9.000000000000000000e+00 1.002374172210693359e+02 2.101531028747558594e+01 3.033943176269531250e+01 8.999400138854980469e+01 3.139004707336425781e-01 6.244558334350585938e+00 5.521611690521240234e+00 9.999999999999999547e-07 3.972053527832031250e-03 3.686978578567504883e+00 1.340890704886987805e-02 1.039999999999999924e-09 2.275000000000000000e+01 1.550000000000000000e+01
