# Solenoid scan data
# r_max = 3
# point_spacing = 0.05
# x_centre = 14.75
# y_centre = 18
# wait_time = 1.5
# N_points = 2817
# t, scan_vec, V_L, V_R, V_FF, V_IO3, I_L, I_R, I_FF, I_mm, I_IO3, I_F, I_RFA, p, x_target, y_target
6.878079175949096680e+00 0.000000000000000000e+00 1.003687381744384766e+02 2.140927314758300781e+01 3.010959625244140625e+01 1.049979686737060547e+02 3.359009265899658203e+00 5.738626956939697266e+00 3.039560317993164062e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.496435880661010742e+00 5.266320251394063234e-03 1.519999999999999921e-09 1.475000000000000000e+01 1.500000000000000000e+01
1.166033148765563965e+01 1.000000000000000000e+00 1.003687381744384766e+02 2.140927314758300781e+01 3.014245033264160156e+01 1.050307750701904297e+02 3.364262580871582031e+00 5.724837779998779297e+00 3.035620689392089844e+00 0.000000000000000000e+00 3.315448760986328125e-03 4.497749090194702148e+00 4.872237972449511290e-03 1.530000000000000093e-09 1.405000000000000071e+01 1.509999999999999964e+01
1.417491054534912109e+01 2.000000000000000000e+00 1.004015445709228516e+02 2.144212722778320312e+01 3.010959625244140625e+01 1.050307750701904297e+02 3.366232395172119141e+00 5.723852634429931641e+00 3.036933898925781250e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.497092485427856445e+00 4.741004377137869596e-03 1.540000000000000059e-09 1.415000000000000036e+01 1.509999999999999964e+01
1.670946240425109863e+01 3.000000000000000000e+00 1.003687381744384766e+02 2.140927314758300781e+01 3.020811080932617188e+01 1.050307750701904297e+02 3.367874145507812500e+00 5.722867965698242188e+00 3.036605358123779297e+00 9.999999999999999547e-07 2.987384796142578125e-03 4.493481159210205078e+00 5.003662314265966415e-03 1.540000000000000059e-09 1.425000000000000000e+01 1.509999999999999964e+01
1.924499726295471191e+01 4.000000000000000000e+00 1.003687381744384766e+02 2.131080627441406250e+01 3.030657768249511719e+01 1.049979686737060547e+02 3.368858814239501953e+00 5.720241546630859375e+00 3.033650398254394531e+00 9.999999999999999547e-07 2.658843994140625000e-03 4.487243175506591797e+00 5.003662314265966415e-03 1.540000000000000059e-09 1.434999999999999964e+01 1.509999999999999964e+01
2.175756883621215820e+01 5.000000000000000000e+00 1.003687381744384766e+02 2.134361267089843750e+01 3.010959625244140625e+01 1.049651145935058594e+02 3.371813774108886719e+00 5.724181175231933594e+00 3.036277294158935547e+00 0.000000000000000000e+00 3.643989562988281250e-03 4.501853227615356445e+00 5.003662314265966415e-03 1.550000000000000024e-09 1.444999999999999929e+01 1.509999999999999964e+01
2.428012013435363770e+01 6.000000000000000000e+00 1.003687381744384766e+02 2.127795219421386719e+01 3.010959625244140625e+01 1.048994541168212891e+02 3.369843959808349609e+00 5.720898151397705078e+00 3.033978939056396484e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.489869594573974609e+00 4.741004377137869596e-03 1.550000000000000024e-09 1.455000000000000071e+01 1.509999999999999964e+01
2.682366800308227539e+01 7.000000000000000000e+00 1.005000591278076172e+02 2.131080627441406250e+01 3.014245033264160156e+01 1.049651145935058594e+02 3.370500564575195312e+00 5.719584465026855469e+00 3.034635543823242188e+00 9.999999999999999547e-07 3.315448760986328125e-03 4.492331981658935547e+00 5.003662314265966415e-03 1.550000000000000024e-09 1.465000000000000036e+01 1.509999999999999964e+01
2.929625964164733887e+01 8.000000000000000000e+00 1.003687381744384766e+02 2.134361267089843750e+01 3.020811080932617188e+01 1.049651145935058594e+02 3.367545604705810547e+00 5.720898151397705078e+00 3.034307479858398438e+00 0.000000000000000000e+00 2.987384796142578125e-03 4.499883174896240234e+00 4.872237972449511290e-03 1.550000000000000024e-09 1.475000000000000000e+01 1.509999999999999964e+01
3.180587577819824219e+01 9.000000000000000000e+00 1.003687381744384766e+02 2.121229171752929688e+01 3.010959625244140625e+01 1.049979686737060547e+02 3.367217540740966797e+00 5.722211360931396484e+00 3.036277294158935547e+00 0.000000000000000000e+00 2.658843994140625000e-03 4.494958639144897461e+00 5.266320251394063234e-03 1.550000000000000024e-09 1.484999999999999964e+01 1.509999999999999964e+01
